date,sc_w,sc_h,ram,px_width,px_height,mobile_wt,m_dep,int_memory,fc,clock_speed,talk_time,pc,n_cores,battery_power,blue,touch_screen,wifi,dual_sim,four_g,three_g,price_range
11/2/2022,7,12,3476,1412,226.0,193,0.1,5.0,14,1.8,2,16,3,1043,true,true,false,true,false,false,2
11/2/2022,0,6,3895,857,746.0,191,0.8,61.0,4,0.5,7,12,5,841,true,false,false,true,true,true,2
11/2/2022,10,17,2396,1366,1270.0,186,0.9,27.0,1,2.8,10,4,3,1807,true,true,true,false,false,false,2
11/2/2022,0,10,3893,1752,295.0,96,0.5,25.0,18,0.5,7,20,8,1546,false,true,false,true,true,true,2
11/2/2022,8,15,1773,810,638.5933,108,0.5,49.0,11,1.4,7,18,6,1434,false,false,true,false,true,true,2
11/2/2022,7,10,3506,939,569.0,198,0.8,50.0,5,2.9,3,9,8,1464,true,true,true,true,true,true,2
11/2/2022,2,14,3873,1374,1283.0,156,1.0,47.0,1,2.4,10,3,2,1718,false,false,false,false,false,false,2
11/2/2022,2,7,1495,1880,1312.0,111,0.8,62.0,0,2.4,18,2,1,833,false,true,true,true,true,false,2
11/2/2022,9,11,3485,876,556.0,101,0.6,25.0,9,2.9,10,19,5,1111,true,true,false,true,true,true,2
11/2/2022,0,6,651,1009,52.0,171,0.5,25.0,1,0.5,5,20,3,1520,false,false,true,false,false,true,2
11/2/2022,7,13,3866,1336,503.0,80,0.6,55.0,2,2.2,20,6,7,1500,false,true,false,false,false,false,2
11/2/2022,8,15,3911,1671,235.0,171,0.8,34.0,2,2.9,8,6,3,1343,false,true,true,false,true,true,2
11/2/2022,2,6,439,1893,829.0,87,1.0,30.0,0,1.4,20,3,2,900,true,false,false,true,false,true,2
11/2/2022,0,13,992,1856,227.0,158,0.9,19.0,5,2.2,16,15,5,1190,true,true,false,true,false,true,2
11/2/2022,6,17,2751,1323,638.5933,193,0.9,51.0,8,1.8,3,9,8,630,false,true,false,false,true,true,2
11/2/2022,5,9,563,1832,185.0,106,0.7,53.0,5,1.0,10,7,8,1846,true,false,true,false,true,true,2
11/2/2022,3,13,2083,1511,613.0,163,1.0,26.0,14,0.5,14,17,2,1985,false,true,false,true,true,true,2
11/2/2022,2,9,2187,532,335.0,186,0.2,48.0,5,2.9,5,15,4,1042,false,false,false,false,true,true,2
11/2/2022,12,19,3902,1771,82.0,194,0.2,37.0,2,1.7,15,3,2,1231,true,false,true,true,true,true,2
11/2/2022,0,5,2524,559,47.0,189,0.7,37.0,9,2.6,6,20,4,1488,false,false,false,false,false,false,2
11/2/2022,1,15,1357,1930,504.0,151,0.7,7.0,8,0.6,16,17,1,968,false,true,false,false,true,true,2
11/2/2022,11,13,3456,1591,521.0,101,0.5,60.0,1,2.6,9,5,5,529,false,true,false,true,false,false,2
11/2/2022,0,17,1641,1587,777.0,115,0.1,50.0,7,1.7,9,10,2,1558,false,true,true,true,false,true,2
11/2/2022,3,17,2322,1111,512.0,97,0.8,58.0,16,0.7,2,18,5,533,true,true,false,true,true,false,2
11/2/2022,4,17,3862,1321,1194.0,125,0.7,5.0,1,1.7,7,6,3,1037,false,true,false,true,false,true,2
11/2/2022,10,15,557,1306,1003.0,122,0.7,43.0,6,1.6,14,16,3,1025,false,true,true,true,true,true,2
11/2/2022,11,16,2427,1200,575.0,124,0.6,17.0,0,3.0,13,1,4,1858,false,true,false,true,false,true,2
11/2/2022,3,17,625,658,54.0,91,0.1,8.0,1,0.5,7,5,5,980,false,true,true,false,false,false,2
11/2/2022,9,10,3836,630,627.0,139,0.2,15.0,9,0.5,10,10,5,644,true,false,true,true,false,true,2
11/2/2022,3,11,854,1048,129.0,81,0.8,38.0,0,1.6,10,0,2,1024,true,false,false,true,true,true,2
11/2/2022,2,11,2383,1408,876.0,184,0.3,11.0,2,2.9,18,13,8,1981,false,false,false,true,true,true,2
