date,battery_power,blue,n_cores,pc,talk_time,touch_screen,wifi,dual_sim,four_g,three_g,clock_speed,fc,int_memory,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,price_range
11/2/2022,1043,Yes,3,16,2,Yes,No,Yes,No,No,1.8,14,5,0.1,193,226,1412,3476,12,7,high cost
11/2/2022,841,Yes,5,12,7,No,No,Yes,Yes,Yes,0.5,4,61,0.8,191,746,857,3895,6,0,high cost
11/2/2022,1807,Yes,3,4,10,Yes,Yes,No,No,No,2.8,1,27,0.9,186,1270,1366,2396,17,10,high cost
11/2/2022,1546,No,8,20,7,Yes,No,Yes,Yes,Yes,0.5,18,25,0.5,96,295,1752,3893,10,0,high cost
11/2/2022,1434,No,6,18,7,No,Yes,No,Yes,Yes,1.4,11,49,0.5,108,638.5933444,810,1773,15,8,high cost
11/2/2022,1464,Yes,8,9,3,Yes,Yes,Yes,Yes,Yes,2.9,5,50,0.8,198,569,939,3506,10,7,high cost
11/2/2022,1718,No,2,3,10,No,No,No,No,No,2.4,1,47,1,156,1283,1374,3873,14,2,high cost
11/2/2022,833,No,1,2,18,Yes,Yes,Yes,Yes,No,2.4,0,62,0.8,111,1312,1880,1495,7,2,high cost
11/2/2022,1111,Yes,5,19,10,Yes,No,Yes,Yes,Yes,2.9,9,25,0.6,101,556,876,3485,11,9,high cost
11/2/2022,1520,No,3,20,5,No,Yes,No,No,Yes,0.5,1,25,0.5,171,52,1009,651,6,0,high cost
11/2/2022,1500,No,7,6,20,Yes,No,No,No,No,2.2,2,55,0.6,80,503,1336,3866,13,7,high cost
11/2/2022,1343,No,3,6,8,Yes,Yes,No,Yes,Yes,2.9,2,34,0.8,171,235,1671,3911,15,8,high cost
11/2/2022,900,Yes,2,3,20,No,No,Yes,No,Yes,1.4,0,30,1,87,829,1893,439,6,2,high cost
11/2/2022,1190,Yes,5,15,16,Yes,No,Yes,No,Yes,2.2,5,19,0.9,158,227,1856,992,13,0,high cost
11/2/2022,630,No,8,9,3,Yes,No,No,Yes,Yes,1.8,8,51,0.9,193,638.5933444,1323,2751,17,6,high cost
11/2/2022,1846,Yes,8,7,10,No,Yes,No,Yes,Yes,1,5,53,0.7,106,185,1832,563,9,5,high cost
11/2/2022,1985,No,2,17,14,Yes,No,Yes,Yes,Yes,0.5,14,26,1,163,613,1511,2083,13,3,high cost
11/2/2022,1042,No,4,15,5,No,No,No,Yes,Yes,2.9,5,48,0.2,186,335,532,2187,9,2,high cost
11/2/2022,1231,Yes,2,3,15,No,Yes,Yes,Yes,Yes,1.7,2,37,0.2,194,82,1771,3902,19,12,high cost
11/2/2022,1488,No,4,20,6,No,No,No,No,No,2.6,9,37,0.7,189,47,559,2524,5,0,high cost
11/2/2022,968,No,1,17,16,Yes,No,No,Yes,Yes,0.6,8,7,0.7,151,504,1930,1357,15,1,high cost
11/2/2022,529,No,5,5,9,Yes,No,Yes,No,No,2.6,1,60,0.5,101,521,1591,3456,13,11,high cost
11/2/2022,1558,No,2,10,9,Yes,Yes,Yes,No,Yes,1.7,7,50,0.1,115,777,1587,1641,17,0,high cost
11/2/2022,533,Yes,5,18,2,Yes,No,Yes,Yes,No,0.7,16,58,0.8,97,512,1111,2322,17,3,high cost
11/2/2022,1037,No,3,6,7,Yes,No,Yes,No,Yes,1.7,1,5,0.7,125,1194,1321,3862,17,4,high cost
11/2/2022,1025,No,3,16,14,Yes,Yes,Yes,Yes,Yes,1.6,6,43,0.7,122,1003,1306,557,15,10,high cost
11/2/2022,1858,No,4,1,13,Yes,No,Yes,No,Yes,3,0,17,0.6,124,575,1200,2427,16,11,high cost
11/2/2022,980,No,5,5,7,Yes,Yes,No,No,No,0.5,1,8,0.1,91,54,658,625,17,3,high cost
11/2/2022,644,Yes,5,10,10,No,Yes,Yes,No,Yes,0.5,9,15,0.2,139,627,630,3836,10,9,high cost
11/2/2022,1024,Yes,2,0,10,No,No,Yes,Yes,Yes,1.6,0,38,0.8,81,129,1048,854,11,3,high cost
11/2/2022,1981,No,8,13,18,No,No,Yes,Yes,Yes,2.9,2,11,0.3,184,876,1408,2383,11,2,high cost
11/2/2022,1380,No,8,16,7,No,No,Yes,Yes,Yes,2.6,15,56,0.5,187,501,643,926,9,5,high cost
11/2/2022,1557,Yes,7,11,7,No,No,Yes,No,Yes,1.7,1,32,0.3,152,1407,1633,3048,17,11,high cost
11/2/2022,1201,Yes,4,20,9,No,No,Yes,No,Yes,2.2,10,49,0.8,175,722,992,824,18,13,high cost
11/2/2022,1074,Yes,3,6,2,No,No,No,No,Yes,1.2,0,45,0.8,193,1219,1904,874,11,7,high cost
11/2/2022,1175,Yes,6,8,7,No,Yes,No,No,No,2.1,3,32.58796142,0.9,124,119,1777,1617,5,3,high cost
11/2/2022,1280,No,6,5,8,No,Yes,Yes,Yes,Yes,0.9,4,8,0.6,96,753,1557,3309,17,16,high cost
11/2/2022,1715,No,6,16,12,No,Yes,Yes,Yes,Yes,0.6,1,28,0.4,112,162,847,1786,19,2,high cost
11/2/2022,1165,No,2,11,14,No,No,No,No,Yes,0.9,4,40,0.9,150,313,528,3128,13,0,high cost
11/2/2022,567,No,4,1,10,Yes,Yes,No,No,No,2.6,0,2,0.2,87,181,566,2243,16,6,high cost
11/2/2022,1952,Yes,2,10,17,Yes,Yes,No,No,No,1.4,2,47,0.8,190,1416,1892,994,9,5,high cost
11/2/2022,822,Yes,8,7,16,No,Yes,Yes,No,Yes,1.4,2,43,0.3,189,645,851,2749,13,4,high cost
11/2/2022,685,Yes,6,15,11,No,Yes,Yes,No,No,0.5,0,12,0.5,121,79,633,793,5,4,high cost
11/2/2022,1388,Yes,5,19,3,No,No,Yes,Yes,Yes,0.6,12,17,0.6,174,153,972,324,14,0,high cost
11/2/2022,1972,No,3,14,17,Yes,No,No,No,Yes,2.1,2,48,0.6,188,480,748,366,5,3,high cost
11/2/2022,1411,Yes,7,17,7,Yes,No,No,Yes,Yes,1.7,9,57,0.5,80,700,1234,1228,17,3,high cost
11/2/2022,1094,No,1,5,16,Yes,Yes,Yes,No,No,2.3,2,20,0.9,135,221,610,1413,7,0,high cost
11/2/2022,1653,No,4,15,18,Yes,Yes,Yes,Yes,Yes,0.7,1,13,0.5,114,1585,1896,2617,16,4,high cost
11/2/2022,916,No,7,20,5,Yes,No,Yes,No,Yes,2,9,33,0.7,142,65,1867,1798,11,5,high cost
11/2/2022,1712,No,7,6,5,Yes,No,No,No,Yes,0.8,1,29,0.3,149,556,816,2693,7,1,high cost
