date,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
11/2/2022,1043.00,Yes,1.80,Yes,14.00,No,5,0.1,193,3,16,226,1412,3476,12,7,2,No,Yes,No,high cost
11/2/2022,841.00,Yes,0.50,Yes,4.00,Yes,61,0.8,191,5,12,746,857,3895,6,0,7,Yes,No,No,high cost
11/2/2022,1807.00,Yes,2.80,No,1.00,No,27,0.9,186,3,4,1270,1366,2396,17,10,10,No,Yes,Yes,high cost
11/2/2022,1546.00,No,0.50,Yes,18.00,Yes,25,0.5,96,8,20,295,1752,3893,10,0,7,Yes,Yes,No,high cost
11/2/2022,1434.00,No,1.40,No,11.00,Yes,49,0.5,108,6,18,,810,1773,15,8,7,Yes,No,Yes,high cost
11/2/2022,1464.00,Yes,2.90,Yes,5.00,Yes,50,0.8,198,8,9,569,939,3506,10,7,3,Yes,Yes,Yes,high cost
11/2/2022,1718.00,No,2.40,No,1.00,No,47,1,156,2,3,1283,1374,3873,14,2,10,No,No,No,high cost
11/2/2022,833.00,No,2.40,Yes,0.00,,62,0.8,111,1,2,1312,1880,1495,7,2,18,No,Yes,Yes,high cost
11/2/2022,1111.00,Yes,2.90,Yes,9.00,Yes,25,0.6,101,5,19,556,876,3485,11,9,10,Yes,Yes,No,high cost
11/2/2022,1520.00,No,0.50,No,1.00,No,25,0.5,171,3,20,52,1009,651,6,0,5,Yes,No,Yes,high cost
11/2/2022,1500.00,No,2.20,No,2.00,No,55,0.6,80,7,6,503,1336,3866,13,7,20,No,Yes,No,high cost
11/2/2022,1343.00,No,2.90,No,2.00,Yes,34,0.8,171,3,6,235,1671,3911,15,8,8,Yes,Yes,Yes,high cost
11/2/2022,900.00,Yes,1.40,Yes,0.00,No,30,1,87,2,3,829,1893,439,6,2,20,Yes,No,No,high cost
11/2/2022,1190.00,Yes,2.20,Yes,5.00,No,19,0.9,158,5,15,227,1856,992,13,0,16,Yes,Yes,No,high cost
11/2/2022,630.00,No,1.80,No,8.00,Yes,51,0.9,193,8,9,,1323,2751,17,6,3,Yes,Yes,No,high cost
11/2/2022,1846.00,Yes,1.00,No,5.00,Yes,53,0.7,106,8,7,185,1832,563,9,5,10,Yes,No,Yes,high cost
11/2/2022,1985.00,No,0.50,Yes,14.00,Yes,26,1,163,2,17,613,1511,2083,13,3,14,Yes,Yes,No,high cost
11/2/2022,1042.00,No,2.90,No,5.00,Yes,48,0.2,186,4,15,335,532,2187,9,2,5,Yes,No,No,high cost
11/2/2022,1231.00,Yes,1.70,Yes,2.00,Yes,37,0.2,194,2,3,82,1771,3902,19,12,15,Yes,No,Yes,high cost
11/2/2022,1488.00,No,2.60,No,9.00,No,37,0.7,189,4,20,47,559,2524,5,0,6,No,No,No,high cost
11/2/2022,968.00,No,0.60,No,8.00,Yes,7,0.7,151,1,17,504,1930,1357,15,1,16,Yes,Yes,No,high cost
11/2/2022,529.00,No,2.60,Yes,1.00,No,60,0.5,101,5,5,521,1591,3456,13,11,9,No,Yes,No,high cost
11/2/2022,1558.00,No,1.70,Yes,7.00,No,50,0.1,115,2,10,777,1587,1641,17,0,9,,Yes,Yes,high cost
11/2/2022,533.00,Yes,0.70,Yes,16.00,,58,0.8,97,5,18,512,1111,2322,17,3,2,No,Yes,No,high cost
11/2/2022,1037.00,No,1.70,Yes,1.00,No,5,0.7,125,3,6,1194,1321,3862,17,4,7,Yes,Yes,No,high cost
11/2/2022,1025.00,No,1.60,Yes,6.00,Yes,43,0.7,122,3,16,1003,1306,557,15,10,14,Yes,Yes,Yes,high cost
11/2/2022,1858.00,No,3.00,Yes,0.00,No,17,0.6,124,4,1,575,1200,2427,16,11,13,Yes,Yes,No,high cost
11/2/2022,980.00,No,0.50,No,1.00,No,8,0.1,91,5,5,54,658,625,17,3,7,No,Yes,Yes,high cost
11/2/2022,644.00,Yes,0.50,Yes,9.00,No,15,0.2,139,5,10,627,630,3836,10,9,10,Yes,No,Yes,high cost
11/2/2022,1024.00,Yes,1.60,Yes,0.00,Yes,38,0.8,81,2,0,129,1048,854,11,3,10,Yes,No,No,high cost
11/2/2022,1981.00,No,2.90,Yes,2.00,Yes,11,0.3,184,8,13,876,1408,2383,11,2,18,Yes,No,No,high cost
11/2/2022,1380.00,No,2.60,Yes,15.00,Yes,56,0.5,187,8,16,501,643,926,9,5,7,Yes,No,No,high cost
11/2/2022,1557.00,Yes,1.70,Yes,1.00,No,32,0.3,152,7,11,1407,1633,3048,17,11,7,Yes,No,No,high cost
11/2/2022,1201.00,Yes,2.20,Yes,10.00,No,49,0.8,175,4,20,722,992,824,18,13,9,Yes,No,No,high cost
11/2/2022,1074.00,Yes,1.20,No,0.00,No,45,0.8,193,3,6,1219,1904,874,11,7,2,Yes,No,No,high cost
11/2/2022,1175.00,Yes,2.10,No,3.00,No,,0.9,124,6,8,119,1777,1617,5,3,7,No,No,Yes,high cost
11/2/2022,1280.00,No,0.90,Yes,4.00,Yes,8,0.6,96,6,5,753,1557,3309,17,16,8,Yes,No,Yes,high cost
11/2/2022,1715.00,No,0.60,Yes,1.00,Yes,28,0.4,112,6,16,162,847,1786,19,2,12,Yes,No,Yes,high cost
11/2/2022,1165.00,No,0.90,No,4.00,No,40,0.9,150,2,11,313,528,3128,13,0,14,Yes,No,No,high cost
11/2/2022,567.00,No,2.60,No,0.00,No,2,0.2,87,4,1,181,566,2243,16,6,10,No,Yes,Yes,high cost
11/2/2022,1952.00,Yes,1.40,No,2.00,No,47,0.8,190,2,10,1416,1892,994,9,5,17,No,Yes,Yes,high cost
11/2/2022,822.00,Yes,1.40,Yes,2.00,No,43,0.3,189,8,7,645,851,2749,13,4,16,Yes,No,Yes,high cost
11/2/2022,685.00,Yes,0.50,Yes,0.00,No,12,0.5,121,6,15,79,633,793,5,4,11,No,No,Yes,high cost
11/2/2022,1388.00,Yes,0.60,Yes,12.00,Yes,17,0.6,174,5,19,153,972,324,14,0,3,Yes,No,No,high cost
11/2/2022,1972.00,No,2.10,No,2.00,No,48,0.6,188,3,14,480,748,366,5,3,17,Yes,Yes,No,high cost
11/2/2022,1411.00,Yes,1.70,No,9.00,Yes,57,0.5,80,7,17,700,1234,1228,17,3,7,Yes,Yes,No,high cost
11/2/2022,1094.00,No,2.30,Yes,2.00,No,20,0.9,135,1,5,221,610,1413,7,0,16,No,Yes,Yes,high cost
11/2/2022,1653.00,No,0.70,Yes,1.00,Yes,13,0.5,114,4,15,1585,1896,2617,16,4,18,Yes,Yes,Yes,high cost
11/2/2022,916.00,No,2.00,Yes,9.00,No,33,0.7,142,7,20,65,1867,1798,11,5,5,Yes,Yes,No,high cost
