CameraID,pc,fc
10001,16,14
10002,12,4
10003,4,1
10004,20,18
10005,18,11
10006,9,5
10007,3,1
10008,2,0
10009,19,9
10010,20,1
10011,6,2
10012,6,2
10013,3,0
10014,15,5
10015,9,8
10016,7,5
10017,17,14
10018,15,5
10019,3,2
10020,20,9
10021,17,8
10022,5,1
10023,10,7
10024,18,16
10025,6,1
10026,16,6
10027,1,0
10028,5,1
10029,10,9
10030,0,0
10031,13,2
10032,16,15
10033,11,1
10034,20,10
10035,6,0
10036,8,3
10037,5,4
10038,16,1
10039,11,4
10040,1,0
10041,10,2
10042,7,2
10043,15,0
10044,19,12
10045,14,2
10046,17,9
10047,5,2
10048,15,1
10049,20,9
10050,6,1
10051,14,13
10052,10,6
10053,3,0
10054,14,11
10055,10,4
10056,15,6
10057,11,9
10058,2,1
10059,14,10
10060,17,15
10061,4,1
10062,6,5
10063,5,3
10064,7,2
10065,15,1
10066,6,5
10067,14,10
10068,20,6
10069,5,3
10070,20,2
10071,16,4
10072,6,5
10073,14,5
10074,5,3
10075,19,6
10076,4,2
10077,12,5
10078,0,0
10079,4,1
10080,1,0
10081,8,2
10082,16,6
10083,3,0
10084,16,13
10085,11,1
10086,17,3
10087,20,14
10088,20,4
10089,16,9
10090,6,3
10091,15,6
10092,2,0
10093,17,0
10094,1,0
10095,8,2
10096,19,3
10097,17,8
10098,15,7
10099,19,9
10100,5,0
10101,15,9
10102,19,4
10103,13,4
10104,6,0
10105,17,5
10106,5,2
10107,20,1
10108,4,2
10109,9,1
10110,13,0
10111,16,4
10112,17,5
10113,16,10
10114,6,3
10115,4,3
10116,3,2
10117,17,4
10118,17,10
10119,16,5
10120,11,10
10121,1,0
10122,4,3
10123,7,2
10124,11,6
10125,1,0
10126,18,5
10127,5,3
10128,1,0
10129,5,4
10130,9,0
10131,0,0
10132,9,6
10133,7,1
10134,4,0
10135,3,0
10136,9,0
10137,14,5
10138,4,3
10139,7,4
10140,10,5
10141,5,4
10142,6,2
10143,18,14
10144,0,0
10145,14,10
10146,16,13
10147,17,7
10148,12,0
10149,10,4
10150,14,0
10151,2,0
10152,15,0
10153,16,14
10154,15,7
10155,1,0
10156,7,6
10157,5,0
10158,10,0
10159,9,7
10160,14,10
10161,11,3
10162,17,7
10163,14,6
10164,12,5
10165,14,1
10166,16,12
10167,8,6
10168,16,7
10169,4,3
10170,3,1
10171,0,0
10172,19,18
10173,0,0
10174,6,5
10175,5,0
10176,7,1
10177,7,6
10178,12,4
10179,8,5
10180,16,8
10181,5,3
10182,10,5
10183,18,13
10184,4,0
10185,17,6
10186,14,11
10187,3,0
10188,20,10
10189,9,6
10190,16,5
10191,8,7
10192,20,16
10193,5,3
10194,17,12
10195,8,2
10196,8,2
10197,19,2
10198,12,6
10199,1,0
10200,15,1
10201,3,2
10202,7,0
10203,17,1
10204,10,0
10205,19,18
10206,19,1
10207,20,14
10208,10,5
10209,1,0
10210,9,5
10211,12,6
10212,0,0
10213,17,13
10214,7,4
10215,20,1
10216,2,1
10217,5,1
10218,7,6
10219,17,14
10220,13,6
10221,18,2
10222,13,2
10223,1,0
10224,11,4
10225,6,4
10226,2,1
10227,5,0
10228,11,2
10229,3,2
10230,20,14
10231,8,6
10232,7,0
10233,0,0
10234,5,2
10235,14,12
10236,16,15
10237,18,3
10238,7,3
10239,16,15
10240,9,8
10241,19,7
10242,6,1
10243,9,5
10244,8,1
10245,1,0
10246,5,1
10247,12,9
10248,1,0
10249,10,1
10250,2,0
10251,4,1
10252,1,0
10253,3,2
10254,5,0
10255,15,5
10256,8,0
10257,0,0
10258,7,4
10259,19,4
10260,7,4
10261,1,0
10262,0,0
10263,14,11
10264,20,10
10265,2,0
10266,16,7
10267,1,0
10268,7,5
10269,2,0
10270,4,1
10271,10,5
10272,6,0
10273,9,2
10274,20,2
10275,5,1
10276,9,5
10277,14,11
10278,0,0
10279,10,3
10280,19,9
10281,16,5
10282,7,2
10283,14,4
10284,20,18
10285,18,1
10286,8,5
10287,16,14
10288,15,10
10289,18,9
10290,15,0
10291,2,1
10292,2,1
10293,6,4
10294,2,0
10295,7,1
10296,16,15
10297,1,0
10298,1,0
10299,16,1
10300,14,9
10301,12,11
10302,8,0
10303,13,3
10304,4,0
10305,4,1
10306,15,14
10307,18,12
10308,13,7
10309,14,11
10310,11,10
10311,14,10
10312,2,1
10313,19,15
10314,0,0
10315,3,1
10316,15,9
10317,11,0
10318,0,0
10319,9,7
10320,3,2
10321,17,13
10322,2,0
10323,1,0
10324,19,1
10325,12,7
10326,9,7
10327,2,1
10328,13,8
10329,0,0
10330,15,1
10331,6,0
10332,9,6
10333,5,4
10334,2,0
10335,14,1
10336,6,4
10337,17,11
10338,6,1
10339,1,0
10340,10,3
10341,10,9
10342,13,9
10343,14,12
10344,13,10
10345,16,11
10346,9,6
10347,3,2
10348,20,2
10349,10,3
10350,8,7
10351,18,10
10352,12,0
10353,18,3
10354,14,11
10355,16,7
10356,8,7
10357,8,7
10358,8,4
10359,10,9
10360,0,0
10361,14,4
10362,2,1
10363,20,1
10364,9,2
10365,17,10
10366,15,0
10367,5,1
10368,9,8
10369,3,0
10370,6,4
10371,3,1
10372,13,0
10373,11,4
10374,12,6
10375,3,1
10376,10,3
10377,15,14
10378,10,4
10379,20,8
10380,4,2
10381,3,2
10382,20,6
10383,15,10
10384,20,5
10385,7,3
10386,8,4
10387,17,6
10388,12,9
10389,3,2
10390,16,7
10391,19,13
10392,13,5
10393,10,1
10394,17,8
10395,16,13
10396,13,11
10397,15,0
10398,0,0
10399,1,0
10400,9,6
10401,17,13
10402,18,2
10403,3,2
10404,12,5
10405,8,7
10406,16,10
10407,11,1
10408,3,0
10409,1,0
10410,2,0
10411,0,0
10412,13,12
10413,1,0
10414,1,0
10415,11,1
10416,13,1
10417,3,0
10418,9,0
10419,1,0
10420,1,0
10421,20,11
10422,16,5
10423,7,1
10424,3,1
10425,17,4
10426,9,8
10427,18,9
10428,14,8
10429,16,3
10430,19,9
10431,13,8
10432,4,3
10433,8,5
10434,20,2
10435,7,3
10436,0,0
10437,5,4
10438,6,4
10439,2,0
10440,17,10
10441,3,2
10442,1,0
10443,16,3
10444,11,0
10445,14,12
10446,7,0
10447,7,6
10448,18,17
10449,7,6
10450,19,15
10451,9,2
10452,17,16
10453,14,2
10454,1,0
10455,12,9
10456,3,0
10457,8,3
10458,17,16
10459,12,8
10460,8,1
10461,13,5
10462,20,11
10463,8,7
10464,11,7
10465,12,0
10466,5,2
10467,2,0
10468,12,9
10469,6,1
10470,2,0
10471,19,2
10472,20,14
10473,12,5
10474,8,4
10475,2,0
10476,17,16
10477,2,1
10478,7,3
10479,18,14
10480,5,4
10481,19,18
10482,14,3
10483,15,12
10484,6,5
10485,7,2
10486,2,0
10487,10,3
10488,18,0
10489,5,2
10490,14,0
10491,16,9
10492,1,0
10493,9,4
10494,8,1
10495,4,2
10496,7,2
10497,8,4
10498,1,0
10499,12,3
10500,6,5
10501,11,4
10502,17,4
10503,14,7
10504,7,4
10505,8,5
10506,20,17
