_dataobs_,date,price_range,Camera_pc,Camera_fc,Screen_sc_h,Screen_sc_w,Screen_px_width,Screen_px_height,Memory_ram,Memory_int_memory,TechSpec_mobile_wt,TechSpec_m_dep,TechSpec_battery_power,TechSpec_touch_screen,TechSpec_clock_speed,TechSpec_n_cores,TechSpec_wifi,TechSpec_blue,TechSpec_dual_sim,TechSpec_four_g,TechSpec_three_g,TechSpec_talk_time,Camera_COUNT_Sales_,Camera_MAX_Sales_price_range_,Camera_MEAN_Sales_price_range_,Camera_MIN_Sales_price_range_,Camera_MODE_Sales_date_,Camera_NUM_UNIQUE_Sales_date_,Camera_SUM_Sales_price_range_,Screen_COUNT_Sales_,Screen_MAX_Sales_price_range_,Screen_MEAN_Sales_price_range_,Screen_MIN_Sales_price_range_,Screen_MODE_Sales_date_,Screen_NUM_UNIQUE_Sales_date_,Screen_SUM_Sales_price_range_,Memory_COUNT_Sales_,Memory_MAX_Sales_price_range_,Memory_MEAN_Sales_price_range_,Memory_MIN_Sales_price_range_,Memory_MODE_Sales_date_,Memory_NUM_UNIQUE_Sales_date_,Memory_SUM_Sales_price_range_,TechSpec_COUNT_Sales_,TechSpec_MAX_Sales_price_range_,TechSpec_MEAN_Sales_price_range_,TechSpec_MIN_Sales_price_range_,TechSpec_MODE_Sales_date_,TechSpec_NUM_UNIQUE_Sales_date_,TechSpec_SUM_Sales_price_range_
1,11/02/2022,2,16,14,12,7,1412,226,3476,5,193,0.1,1043,TRUE,1.8,3,FALSE,TRUE,TRUE,FALSE,FALSE,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
4,11/02/2022,2,20,18,10,0,1752,295,3893,25,96,0.5,1546,TRUE,0.5,8,FALSE,FALSE,TRUE,TRUE,TRUE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
5,11/02/2022,2,18,11,15,8,810,638.5933,1773,49,108,0.5,1434,FALSE,1.4,6,TRUE,FALSE,FALSE,TRUE,TRUE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
7,11/02/2022,2,3,1,14,2,1374,1283,3873,47,156,1,1718,FALSE,2.4,2,FALSE,FALSE,FALSE,FALSE,FALSE,10,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
11,11/02/2022,2,6,2,13,7,1336,503,3866,55,80,0.6,1500,TRUE,2.2,7,FALSE,FALSE,FALSE,FALSE,FALSE,20,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
12,11/02/2022,2,6,2,15,8,1671,235,3911,34,171,0.8,1343,TRUE,2.9,3,TRUE,FALSE,FALSE,TRUE,TRUE,8,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
13,11/02/2022,2,3,0,6,2,1893,829,439,30,87,1,900,FALSE,1.4,2,FALSE,TRUE,TRUE,FALSE,TRUE,20,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
14,11/02/2022,2,15,5,13,0,1856,227,992,19,158,0.9,1190,TRUE,2.2,5,FALSE,TRUE,TRUE,FALSE,TRUE,16,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
15,11/02/2022,2,9,8,17,6,1323,638.5933,2751,51,193,0.9,630,TRUE,1.8,8,FALSE,FALSE,FALSE,TRUE,TRUE,3,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
17,11/02/2022,2,17,14,13,3,1511,613,2083,26,163,1,1985,TRUE,0.5,2,FALSE,FALSE,TRUE,TRUE,TRUE,14,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
