_dataobs_,date,price_range,Camera_pc,Camera_fc,Screen_sc_h,Screen_sc_w,Screen_px_width,Screen_px_height,Memory_ram,Memory_int_memory,TechSpec_mobile_wt,TechSpec_m_dep,TechSpec_battery_power,TechSpec_touch_screen,TechSpec_clock_speed,TechSpec_n_cores,TechSpec_wifi,TechSpec_blue,TechSpec_dual_sim,TechSpec_four_g,TechSpec_three_g,TechSpec_talk_time,Camera_COUNT_Sales_,Camera_MAX_Sales_price_range_,Camera_MEAN_Sales_price_range_,Camera_MIN_Sales_price_range_,Camera_MODE_Sales_date_,Camera_NUM_UNIQUE_Sales_date_,Camera_SUM_Sales_price_range_,Screen_COUNT_Sales_,Screen_MAX_Sales_price_range_,Screen_MEAN_Sales_price_range_,Screen_MIN_Sales_price_range_,Screen_MODE_Sales_date_,Screen_NUM_UNIQUE_Sales_date_,Screen_SUM_Sales_price_range_,Memory_COUNT_Sales_,Memory_MAX_Sales_price_range_,Memory_MEAN_Sales_price_range_,Memory_MIN_Sales_price_range_,Memory_MODE_Sales_date_,Memory_NUM_UNIQUE_Sales_date_,Memory_SUM_Sales_price_range_,TechSpec_COUNT_Sales_,TechSpec_MAX_Sales_price_range_,TechSpec_MEAN_Sales_price_range_,TechSpec_MIN_Sales_price_range_,TechSpec_MODE_Sales_date_,TechSpec_NUM_UNIQUE_Sales_date_,TechSpec_SUM_Sales_price_range_
2,11/02/2022,2,12,4,6,0,857,746,3895,61,191,0.8,841,FALSE,0.5,5,FALSE,TRUE,TRUE,TRUE,TRUE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
3,11/02/2022,2,4,1,17,10,1366,1270,2396,27,186,0.9,1807,TRUE,2.8,3,TRUE,TRUE,FALSE,FALSE,FALSE,10,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
6,11/02/2022,2,9,5,10,7,939,569,3506,50,198,0.8,1464,TRUE,2.9,8,TRUE,TRUE,TRUE,TRUE,TRUE,3,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
8,11/02/2022,2,2,0,7,2,1880,1312,1495,62,111,0.8,833,TRUE,2.4,1,TRUE,FALSE,TRUE,TRUE,FALSE,18,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
9,11/02/2022,2,19,9,11,9,876,556,3485,25,101,0.6,1111,TRUE,2.9,5,FALSE,TRUE,TRUE,TRUE,TRUE,10,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
10,11/02/2022,2,20,1,6,0,1009,52,651,25,171,0.5,1520,FALSE,0.5,3,TRUE,FALSE,FALSE,FALSE,TRUE,5,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
16,11/02/2022,2,7,5,9,5,1832,185,563,53,106,0.7,1846,FALSE,1,8,TRUE,TRUE,FALSE,TRUE,TRUE,10,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
24,11/02/2022,2,18,16,17,3,1111,512,2322,58,97,0.8,533,TRUE,0.7,5,FALSE,TRUE,TRUE,TRUE,FALSE,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
29,11/02/2022,2,10,9,10,9,630,627,3836,15,139,0.2,644,FALSE,0.5,5,TRUE,TRUE,TRUE,FALSE,TRUE,10,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
33,11/02/2022,2,11,1,17,11,1633,1407,3048,32,152,0.3,1557,FALSE,1.7,7,FALSE,TRUE,TRUE,FALSE,TRUE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
34,11/02/2022,2,20,10,18,13,992,722,824,49,175,0.8,1201,FALSE,2.2,4,FALSE,TRUE,TRUE,FALSE,TRUE,9,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
39,11/02/2022,2,11,4,13,0,528,313,3128,40,150,0.9,1165,FALSE,0.9,2,FALSE,FALSE,FALSE,FALSE,TRUE,14,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
41,11/02/2022,2,10,2,9,5,1892,1416,994,47,190,0.8,1952,TRUE,1.4,2,TRUE,TRUE,FALSE,FALSE,FALSE,17,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
42,11/02/2022,2,7,2,13,4,851,645,2749,43,189,0.3,822,FALSE,1.4,8,TRUE,TRUE,TRUE,FALSE,TRUE,16,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
48,11/02/2022,2,15,1,16,4,1896,1585,2617,13,114,0.5,1653,TRUE,0.7,4,TRUE,FALSE,TRUE,TRUE,TRUE,18,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
50,11/02/2022,2,6,1,7,1,816,556,2693,29,149,0.3,1712,TRUE,0.8,7,FALSE,FALSE,FALSE,FALSE,TRUE,5,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
52,11/02/2022,2,10,6,16,4,992,705,837,33,101,0.5,632,FALSE,1.2,2,FALSE,FALSE,FALSE,TRUE,TRUE,3,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
61,11/02/2022,2,4,1,11,2,1113,502,3586,22,80,0.1,1907,FALSE,1.1,8,TRUE,TRUE,TRUE,FALSE,TRUE,6,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
62,11/02/2022,2,6,5,10,0,647,130,3942,56,139,0.3,529,FALSE,2.5,4,TRUE,FALSE,TRUE,FALSE,FALSE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
66,11/02/2022,2,6,5,8,0,1552,49,1986,47,83,0.1,660,TRUE,0.6,3,FALSE,FALSE,FALSE,TRUE,TRUE,15,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
67,11/02/2022,2,14,10,5,2,1508,1497,1378,28,111,0.2,1847,FALSE,1.6,4,TRUE,TRUE,FALSE,TRUE,TRUE,18,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
68,11/02/2022,2,20,6,5,1,1361,1327,2959,10,134,0.8,1206,FALSE,0.5,8,TRUE,TRUE,TRUE,FALSE,FALSE,20,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
69,11/02/2022,2,5,3,5,2,1386,555,1893,53,173,0.8,549,TRUE,0.5,5,TRUE,TRUE,FALSE,TRUE,TRUE,19,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
79,11/02/2022,2,4,1,9,6,911,450,2546,20,177,0.7,1031,FALSE,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,12,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
83,11/02/2022,2,3,0,8,3,1427,1335,3870,36,127,0.6,1075,TRUE,1.9,4,FALSE,TRUE,FALSE,FALSE,TRUE,20,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
85,11/02/2022,2,11,1,19,17,653,33,3840,15,183,0.7,1999,FALSE,0.5,8,TRUE,FALSE,TRUE,TRUE,TRUE,12,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
88,11/02/2022,2,20,4,14,3,661,659,1633,42,189,0.9,1182,FALSE,1.7,3,TRUE,FALSE,FALSE,TRUE,TRUE,6,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
89,11/02/2022,2,16,9,10,4,709,183,3035,48,98,0.4,1982,FALSE,0.8,6,TRUE,TRUE,TRUE,FALSE,TRUE,9,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
96,11/02/2022,2,19,3,11,10,1864,568,700,27,137,0.3,1809,FALSE,2.2,5,FALSE,TRUE,TRUE,FALSE,TRUE,12,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
