CameraID,ScreenID,MemoryID,TechSpecID,date,price_range,Camera.pc,Camera.fc,Screen.sc_h,Screen.sc_w,Screen.px_width,Screen.px_height,Memory.ram,Memory.int_memory,TechSpec.mobile_wt,TechSpec.m_dep,TechSpec.battery_power,TechSpec.touch_screen,TechSpec.clock_speed,TechSpec.n_cores,TechSpec.wifi,TechSpec.blue,TechSpec.dual_sim,TechSpec.four_g,TechSpec.three_g,TechSpec.talk_time,Camera.COUNT(Sales),Camera.MAX(Sales.price_range),Camera.MEAN(Sales.price_range),Camera.MIN(Sales.price_range),Camera.MODE(Sales.date),Camera.NUM_UNIQUE(Sales.date),Camera.SKEW(Sales.price_range),Camera.STD(Sales.price_range),Camera.SUM(Sales.price_range),Screen.COUNT(Sales),Screen.MAX(Sales.price_range),Screen.MEAN(Sales.price_range),Screen.MIN(Sales.price_range),Screen.MODE(Sales.date),Screen.NUM_UNIQUE(Sales.date),Screen.SKEW(Sales.price_range),Screen.STD(Sales.price_range),Screen.SUM(Sales.price_range),Memory.COUNT(Sales),Memory.MAX(Sales.price_range),Memory.MEAN(Sales.price_range),Memory.MIN(Sales.price_range),Memory.MODE(Sales.date),Memory.NUM_UNIQUE(Sales.date),Memory.SKEW(Sales.price_range),Memory.STD(Sales.price_range),Memory.SUM(Sales.price_range),TechSpec.COUNT(Sales),TechSpec.MAX(Sales.price_range),TechSpec.MEAN(Sales.price_range),TechSpec.MIN(Sales.price_range),TechSpec.MODE(Sales.date),TechSpec.NUM_UNIQUE(Sales.date),TechSpec.SKEW(Sales.price_range),TechSpec.STD(Sales.price_range),TechSpec.SUM(Sales.price_range)
10001,20001,30001,40001,11/2/2022,2,16,14,12,7,1412,226.0,3476,5.0,193,0.1,1043,True,1.8,3,False,True,True,False,False,2,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10002,20002,30002,40002,11/2/2022,2,12,4,6,0,857,746.0,3895,61.0,191,0.8,841,False,0.5,5,False,True,True,True,True,7,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10003,20003,30003,40003,11/2/2022,2,4,1,17,10,1366,1270.0,2396,27.0,186,0.9,1807,True,2.8,3,True,True,False,False,False,10,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10004,20004,30004,40004,11/2/2022,2,20,18,10,0,1752,295.0,3893,25.0,96,0.5,1546,True,0.5,8,False,False,True,True,True,7,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10005,20005,30005,40005,11/2/2022,2,18,11,15,8,810,638.5933,1773,49.0,108,0.5,1434,False,1.4,6,True,False,False,True,True,7,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10006,20006,30006,40006,11/2/2022,2,9,5,10,7,939,569.0,3506,50.0,198,0.8,1464,True,2.9,8,True,True,True,True,True,3,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10007,20007,30007,40007,11/2/2022,2,3,1,14,2,1374,1283.0,3873,47.0,156,1.0,1718,False,2.4,2,False,False,False,False,False,10,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10008,20008,30008,40008,11/2/2022,2,2,0,7,2,1880,1312.0,1495,62.0,111,0.8,833,True,2.4,1,True,False,True,True,False,18,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10009,20009,30009,40009,11/2/2022,2,19,9,11,9,876,556.0,3485,25.0,101,0.6,1111,True,2.9,5,False,True,True,True,True,10,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10010,20010,30010,40010,11/2/2022,2,20,1,6,0,1009,52.0,651,25.0,171,0.5,1520,False,0.5,3,True,False,False,False,True,5,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10011,20011,30011,40011,11/2/2022,2,6,2,13,7,1336,503.0,3866,55.0,80,0.6,1500,True,2.2,7,False,False,False,False,False,20,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10012,20012,30012,40012,11/2/2022,2,6,2,15,8,1671,235.0,3911,34.0,171,0.8,1343,True,2.9,3,True,False,False,True,True,8,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10013,20013,30013,40013,11/2/2022,2,3,0,6,2,1893,829.0,439,30.0,87,1.0,900,False,1.4,2,False,True,True,False,True,20,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10014,20014,30014,40014,11/2/2022,2,15,5,13,0,1856,227.0,992,19.0,158,0.9,1190,True,2.2,5,False,True,True,False,True,16,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10015,20015,30015,40015,11/2/2022,2,9,8,17,6,1323,638.5933,2751,51.0,193,0.9,630,True,1.8,8,False,False,False,True,True,3,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10016,20016,30016,40016,11/2/2022,2,7,5,9,5,1832,185.0,563,53.0,106,0.7,1846,False,1.0,8,True,True,False,True,True,10,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10017,20017,30017,40017,11/2/2022,2,17,14,13,3,1511,613.0,2083,26.0,163,1.0,1985,True,0.5,2,False,False,True,True,True,14,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10018,20018,30018,40018,11/2/2022,2,15,5,9,2,532,335.0,2187,48.0,186,0.2,1042,False,2.9,4,False,False,False,True,True,5,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10019,20019,30019,40019,11/2/2022,2,3,2,19,12,1771,82.0,3902,37.0,194,0.2,1231,False,1.7,2,True,True,True,True,True,15,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10020,20020,30020,40020,11/2/2022,2,20,9,5,0,559,47.0,2524,37.0,189,0.7,1488,False,2.6,4,False,False,False,False,False,6,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
10021,20021,30021,40021,11/2/2022,2,17,8,15,1,1930,504.0,1357,7.0,151,0.7,968,True,0.6,1,False,False,False,True,True,16,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0,1,2.0,2.0,2.0,11/2/2022,1,,,2.0
