SalesID,date,price_range,CameraID,ScreenID,MemoryID,TechSpecID
50001,11/2/2022,2,10001,20001,30001,40001
50002,11/2/2022,2,10002,20002,30002,40002
50003,11/2/2022,2,10003,20003,30003,40003
50004,11/2/2022,2,10004,20004,30004,40004
50005,11/2/2022,2,10005,20005,30005,40005
50006,11/2/2022,2,10006,20006,30006,40006
50007,11/2/2022,2,10007,20007,30007,40007
50008,11/2/2022,2,10008,20008,30008,40008
50009,11/2/2022,2,10009,20009,30009,40009
50010,11/2/2022,2,10010,20010,30010,40010
50011,11/2/2022,2,10011,20011,30011,40011
50012,11/2/2022,2,10012,20012,30012,40012
50013,11/2/2022,2,10013,20013,30013,40013
50014,11/2/2022,2,10014,20014,30014,40014
50015,11/2/2022,2,10015,20015,30015,40015
50016,11/2/2022,2,10016,20016,30016,40016
50017,11/2/2022,2,10017,20017,30017,40017
50018,11/2/2022,2,10018,20018,30018,40018
50019,11/2/2022,2,10019,20019,30019,40019
50020,11/2/2022,2,10020,20020,30020,40020
50021,11/2/2022,2,10021,20021,30021,40021
50022,11/2/2022,2,10022,20022,30022,40022
50023,11/2/2022,2,10023,20023,30023,40023
50024,11/2/2022,2,10024,20024,30024,40024
50025,11/2/2022,2,10025,20025,30025,40025
50026,11/2/2022,2,10026,20026,30026,40026
50027,11/2/2022,2,10027,20027,30027,40027
50028,11/2/2022,2,10028,20028,30028,40028
50029,11/2/2022,2,10029,20029,30029,40029
50030,11/2/2022,2,10030,20030,30030,40030
50031,11/2/2022,2,10031,20031,30031,40031
50032,11/2/2022,2,10032,20032,30032,40032
50033,11/2/2022,2,10033,20033,30033,40033
50034,11/2/2022,2,10034,20034,30034,40034
50035,11/2/2022,2,10035,20035,30035,40035
50036,11/2/2022,2,10036,20036,30036,40036
50037,11/2/2022,2,10037,20037,30037,40037
50038,11/2/2022,2,10038,20038,30038,40038
50039,11/2/2022,2,10039,20039,30039,40039
50040,11/2/2022,2,10040,20040,30040,40040
50041,11/2/2022,2,10041,20041,30041,40041
50042,11/2/2022,2,10042,20042,30042,40042
50043,11/2/2022,2,10043,20043,30043,40043
50044,11/2/2022,2,10044,20044,30044,40044
50045,11/2/2022,2,10045,20045,30045,40045
50046,11/2/2022,2,10046,20046,30046,40046
50047,11/2/2022,2,10047,20047,30047,40047
50048,11/2/2022,2,10048,20048,30048,40048
50049,11/2/2022,2,10049,20049,30049,40049
50050,11/2/2022,2,10050,20050,30050,40050
50051,11/2/2022,2,10051,20051,30051,40051
50052,11/2/2022,2,10052,20052,30052,40052
50053,11/2/2022,2,10053,20053,30053,40053
50054,11/2/2022,2,10054,20054,30054,40054
50055,11/2/2022,2,10055,20055,30055,40055
50056,11/2/2022,2,10056,20056,30056,40056
50057,11/2/2022,2,10057,20057,30057,40057
50058,11/2/2022,2,10058,20058,30058,40058
50059,11/2/2022,2,10059,20059,30059,40059
50060,11/2/2022,2,10060,20060,30060,40060
50061,11/2/2022,2,10061,20061,30061,40061
50062,11/2/2022,2,10062,20062,30062,40062
50063,11/2/2022,2,10063,20063,30063,40063
50064,11/2/2022,2,10064,20064,30064,40064
50065,11/2/2022,2,10065,20065,30065,40065
50066,11/2/2022,2,10066,20066,30066,40066
50067,11/2/2022,2,10067,20067,30067,40067
50068,11/2/2022,2,10068,20068,30068,40068
50069,11/2/2022,2,10069,20069,30069,40069
50070,11/2/2022,2,10070,20070,30070,40070
50071,11/2/2022,2,10071,20071,30071,40071
50072,11/2/2022,2,10072,20072,30072,40072
50073,11/2/2022,2,10073,20073,30073,40073
50074,11/2/2022,2,10074,20074,30074,40074
50075,11/2/2022,2,10075,20075,30075,40075
50076,11/2/2022,2,10076,20076,30076,40076
50077,11/2/2022,2,10077,20077,30077,40077
50078,11/2/2022,2,10078,20078,30078,40078
50079,11/2/2022,2,10079,20079,30079,40079
50080,11/2/2022,2,10080,20080,30080,40080
50081,11/2/2022,2,10081,20081,30081,40081
50082,11/2/2022,2,10082,20082,30082,40082
50083,11/2/2022,2,10083,20083,30083,40083
50084,11/2/2022,2,10084,20084,30084,40084
50085,11/2/2022,2,10085,20085,30085,40085
50086,11/2/2022,2,10086,20086,30086,40086
50087,11/2/2022,2,10087,20087,30087,40087
50088,11/2/2022,2,10088,20088,30088,40088
50089,11/2/2022,2,10089,20089,30089,40089
50090,11/2/2022,2,10090,20090,30090,40090
50091,11/2/2022,2,10091,20091,30091,40091
50092,11/2/2022,2,10092,20092,30092,40092
50093,11/2/2022,2,10093,20093,30093,40093
50094,11/2/2022,2,10094,20094,30094,40094
50095,11/2/2022,2,10095,20095,30095,40095
50096,11/2/2022,2,10096,20096,30096,40096
50097,11/2/2022,2,10097,20097,30097,40097
50098,11/2/2022,2,10098,20098,30098,40098
50099,11/2/2022,2,10099,20099,30099,40099
50100,11/2/2022,2,10100,20100,30100,40100
50101,11/2/2022,1,10101,20101,30101,40101
50102,11/2/2022,1,10102,20102,30102,40102
50103,11/2/2022,1,10103,20103,30103,40103
50104,11/2/2022,1,10104,20104,30104,40104
50105,11/2/2022,1,10105,20105,30105,40105
50106,11/2/2022,1,10106,20106,30106,40106
50107,11/2/2022,1,10107,20107,30107,40107
50108,11/2/2022,1,10108,20108,30108,40108
50109,11/2/2022,1,10109,20109,30109,40109
50110,11/2/2022,1,10110,20110,30110,40110
50111,11/2/2022,1,10111,20111,30111,40111
50112,11/2/2022,1,10112,20112,30112,40112
50113,11/2/2022,1,10113,20113,30113,40113
50114,11/2/2022,1,10114,20114,30114,40114
50115,11/2/2022,1,10115,20115,30115,40115
50116,11/2/2022,1,10116,20116,30116,40116
50117,11/2/2022,1,10117,20117,30117,40117
50118,12/2/2022,1,10118,20118,30118,40118
50119,12/2/2022,1,10119,20119,30119,40119
50120,12/2/2022,1,10120,20120,30120,40120
50121,12/2/2022,1,10121,20121,30121,40121
50122,12/2/2022,1,10122,20122,30122,40122
50123,12/2/2022,1,10123,20123,30123,40123
50124,12/2/2022,1,10124,20124,30124,40124
50125,12/2/2022,1,10125,20125,30125,40125
50126,12/2/2022,1,10126,20126,30126,40126
50127,12/2/2022,1,10127,20127,30127,40127
50128,12/2/2022,1,10128,20128,30128,40128
50129,12/2/2022,1,10129,20129,30129,40129
50130,12/2/2022,1,10130,20130,30130,40130
50131,12/2/2022,1,10131,20131,30131,40131
50132,12/2/2022,1,10132,20132,30132,40132
50133,12/2/2022,1,10133,20133,30133,40133
50134,12/2/2022,1,10134,20134,30134,40134
50135,12/2/2022,1,10135,20135,30135,40135
50136,12/2/2022,1,10136,20136,30136,40136
50137,12/2/2022,1,10137,20137,30137,40137
50138,12/2/2022,1,10138,20138,30138,40138
50139,12/2/2022,1,10139,20139,30139,40139
50140,12/2/2022,1,10140,20140,30140,40140
50141,12/2/2022,1,10141,20141,30141,40141
50142,12/2/2022,1,10142,20142,30142,40142
50143,12/2/2022,1,10143,20143,30143,40143
50144,12/2/2022,1,10144,20144,30144,40144
50145,12/2/2022,1,10145,20145,30145,40145
50146,12/2/2022,1,10146,20146,30146,40146
50147,12/2/2022,1,10147,20147,30147,40147
50148,12/2/2022,1,10148,20148,30148,40148
50149,12/2/2022,1,10149,20149,30149,40149
50150,12/2/2022,1,10150,20150,30150,40150
50151,12/2/2022,1,10151,20151,30151,40151
50152,12/2/2022,1,10152,20152,30152,40152
50153,12/2/2022,1,10153,20153,30153,40153
50154,12/2/2022,1,10154,20154,30154,40154
50155,12/2/2022,1,10155,20155,30155,40155
