TechSpecID,mobile_wt,m_dep,battery_power,touch_screen,clock_speed,n_cores,wifi,blue,dual_sim,four_g,three_g,talk_time
40001,193,0.1,1043,True,1.8,3,False,True,True,False,False,2
40002,191,0.8,841,False,0.5,5,False,True,True,True,True,7
40003,186,0.9,1807,True,2.8,3,True,True,False,False,False,10
40004,96,0.5,1546,True,0.5,8,False,False,True,True,True,7
40005,108,0.5,1434,False,1.4,6,True,False,False,True,True,7
40006,198,0.8,1464,True,2.9,8,True,True,True,True,True,3
40007,156,1.0,1718,False,2.4,2,False,False,False,False,False,10
40008,111,0.8,833,True,2.4,1,True,False,True,True,False,18
40009,101,0.6,1111,True,2.9,5,False,True,True,True,True,10
40010,171,0.5,1520,False,0.5,3,True,False,False,False,True,5
40011,80,0.6,1500,True,2.2,7,False,False,False,False,False,20
40012,171,0.8,1343,True,2.9,3,True,False,False,True,True,8
40013,87,1.0,900,False,1.4,2,False,True,True,False,True,20
40014,158,0.9,1190,True,2.2,5,False,True,True,False,True,16
40015,193,0.9,630,True,1.8,8,False,False,False,True,True,3
40016,106,0.7,1846,False,1.0,8,True,True,False,True,True,10
40017,163,1.0,1985,True,0.5,2,False,False,True,True,True,14
40018,186,0.2,1042,False,2.9,4,False,False,False,True,True,5
40019,194,0.2,1231,False,1.7,2,True,True,True,True,True,15
40020,189,0.7,1488,False,2.6,4,False,False,False,False,False,6
40021,151,0.7,968,True,0.6,1,False,False,False,True,True,16
40022,101,0.5,529,True,2.6,5,False,False,True,False,False,9
40023,115,0.1,1558,True,1.7,2,True,False,True,False,True,9
40024,97,0.8,533,True,0.7,5,False,True,True,True,False,2
40025,125,0.7,1037,True,1.7,3,False,False,True,False,True,7
40026,122,0.7,1025,True,1.6,3,True,False,True,True,True,14
40027,124,0.6,1858,True,3.0,4,False,False,True,False,True,13
40028,91,0.1,980,True,0.5,5,True,False,False,False,False,7
40029,139,0.2,644,False,0.5,5,True,True,True,False,True,10
40030,81,0.8,1024,False,1.6,2,False,True,True,True,True,10
40031,184,0.3,1981,False,2.9,8,False,False,True,True,True,18
40032,187,0.5,1380,False,2.6,8,False,False,True,True,True,7
40033,152,0.3,1557,False,1.7,7,False,True,True,False,True,7
40034,175,0.8,1201,False,2.2,4,False,True,True,False,True,9
40035,193,0.8,1074,False,1.2,3,False,True,False,False,True,2
40036,124,0.9,1175,False,2.1,6,True,True,False,False,False,7
40037,96,0.6,1280,False,0.9,6,True,False,True,True,True,8
40038,112,0.4,1715,False,0.6,6,True,False,True,True,True,12
40039,150,0.9,1165,False,0.9,2,False,False,False,False,True,14
40040,87,0.2,567,True,2.6,4,True,False,False,False,False,10
40041,190,0.8,1952,True,1.4,2,True,True,False,False,False,17
40042,189,0.3,822,False,1.4,8,True,True,True,False,True,16
40043,121,0.5,685,False,0.5,6,True,True,True,False,False,11
40044,174,0.6,1388,False,0.6,5,False,True,True,True,True,3
40045,188,0.6,1972,True,2.1,3,False,False,False,False,True,17
40046,80,0.5,1411,True,1.7,7,False,True,False,True,True,7
40047,135,0.9,1094,True,2.3,1,True,False,True,False,False,16
40048,114,0.5,1653,True,0.7,4,True,False,True,True,True,18
40049,142,0.7,916,True,2.0,7,False,False,True,False,True,5
40050,149,0.3,1712,True,0.8,7,False,False,False,False,True,5
40051,103,0.8,882,True,0.9,8,True,True,True,False,False,15
40052,101,0.5,632,False,1.2,2,False,False,False,True,True,3
40053,165,0.4,1442,True,0.5,3,True,True,True,False,False,8
40054,150,0.2,900,True,1.9,8,True,False,False,False,True,4
40055,153,0.9,1630,True,0.6,7,False,True,True,False,True,4
40056,174,0.3,1596,True,1.4,5,True,True,True,False,True,2
40057,133,0.6,1272,False,0.5,8,True,True,False,True,True,14
40058,135,0.2,1640,True,2.5,4,True,False,True,False,False,7
40059,198,0.5,1111,False,1.4,7,True,False,True,False,True,2
40060,90,0.3,1889,False,2.9,2,True,True,False,False,True,2
40061,80,0.1,1907,False,1.1,8,True,True,True,False,True,6
40062,139,0.3,529,False,2.5,4,True,False,True,False,False,7
40063,121,0.7,578,False,0.5,6,False,False,False,True,True,7
40064,164,0.4,1634,True,2.3,1,True,True,True,True,True,20
40065,172,0.6,1533,False,1.2,3,False,True,True,True,True,9
40066,83,0.1,660,True,0.6,3,False,False,False,True,True,15
40067,111,0.2,1847,False,1.6,4,True,True,False,True,True,18
40068,134,0.8,1206,False,0.5,8,True,True,True,False,False,20
40069,173,0.8,549,True,0.5,5,True,True,False,True,True,19
40070,122,1.0,1705,True,2.8,3,True,True,False,True,True,20
40071,185,0.1,1366,False,0.5,1,True,False,True,False,False,19
40072,109,0.6,1991,False,0.5,5,True,False,False,False,True,7
40073,175,1.0,1102,True,1.2,3,False,True,False,True,True,4
40074,175,0.5,1452,True,1.1,3,False,False,False,True,True,12
40075,151,0.9,1810,False,1.1,1,False,True,True,False,True,10
40076,165,1.0,1166,True,2.2,7,True,True,True,True,True,11
40077,117,0.4,881,False,0.8,6,True,True,True,False,True,17
40078,166,0.5,1134,False,0.5,5,False,True,True,True,True,20
40079,177,0.7,1031,False,2.0,1,True,True,True,True,True,12
40080,167,0.4,1376,False,2.4,6,False,True,True,True,True,2
40081,137,0.1,1391,True,1.4,5,True,False,True,True,True,10
40082,124,0.6,979,True,2.1,5,False,False,False,False,False,20
40083,127,0.6,1075,True,1.9,4,False,True,False,False,True,20
40084,168,0.1,968,True,0.5,8,False,False,True,True,True,11
40085,183,0.7,1999,False,0.5,8,True,False,True,True,True,12
40086,164,0.1,1626,True,2.7,2,False,False,False,False,True,6
40087,153,0.8,942,False,1.7,8,True,False,True,False,False,7
40088,189,0.9,1182,False,1.7,3,True,False,False,True,True,6
40089,98,0.4,1982,False,0.8,6,True,True,True,False,True,9
40090,80,0.6,1373,False,1.4,8,True,False,True,False,False,9
40091,99,0.9,1650,True,2.1,5,True,True,True,False,False,3
40092,152,0.7,1663,True,0.6,4,True,True,True,False,True,5
40093,168,0.9,1965,False,0.5,7,False,True,False,True,True,20
40094,154,0.3,679,False,0.9,4,True,False,True,False,False,6
40095,90,1.0,1465,True,2.5,5,True,False,False,False,False,12
40096,137,0.3,1809,False,2.2,5,False,True,True,False,True,12
40097,164,0.2,757,False,2.4,8,True,True,True,True,True,15
40098,105,0.2,1034,False,0.7,6,False,True,False,True,True,9
40099,81,0.8,1119,True,2.5,4,False,True,False,False,False,5
40100,103,0.8,559,False,0.5,4,False,True,True,True,True,2
40101,113,0.8,1204,False,1.8,8,False,True,False,False,False,18
40102,89,0.4,1008,False,2.3,8,False,False,True,True,True,18
40103,146,0.5,1397,False,2.7,7,False,True,True,False,False,4
40104,114,0.1,697,False,0.6,4,True,False,True,True,True,8
40105,174,0.3,1939,False,1.3,2,True,True,False,False,False,6
40106,113,0.7,1039,False,1.9,1,False,False,True,False,False,10
40107,83,0.8,1605,True,1.3,4,True,True,False,True,True,10
40108,128,0.6,1094,False,1.6,8,True,False,True,False,False,20
40109,190,0.8,769,False,0.5,3,True,True,True,True,True,11
40110,132,0.1,861,False,0.6,2,False,True,True,False,False,2
40111,169,1.0,504,False,0.9,2,True,False,True,False,False,15
40112,119,0.3,1930,False,1.6,4,True,True,True,True,True,6
40113,140,0.3,1795,False,0.6,2,False,True,True,False,True,2
40114,159,0.9,1363,False,1.6,7,False,False,True,True,True,11
40115,195,0.1,1376,False,2.8,2,False,True,False,True,True,13
40116,123,0.4,1981,False,0.5,7,False,True,False,False,True,2
40117,133,0.7,1901,True,2.7,3,True,False,False,False,False,5
40118,140,0.1,1319,False,1.3,8,False,False,True,False,True,3
40119,178,0.4,859,False,2.7,1,True,True,False,False,True,2
40120,147,0.1,1664,True,2.1,3,True,True,False,False,True,11
40121,151,0.4,955,True,0.5,1,True,False,True,False,True,18
40122,97,0.1,517,True,1.5,7,True,False,True,False,False,2
40123,133,0.3,1806,True,1.1,5,True,False,False,True,True,6
40124,123,0.1,1348,False,0.8,4,False,False,False,True,True,20
40125,164,0.4,1455,True,1.4,1,False,False,False,False,False,7
40126,92,0.6,1611,True,1.7,5,True,False,True,False,True,8
40127,125,1.0,1573,True,3.0,8,True,True,True,True,True,17
40128,197,0.5,557,True,0.5,5,False,False,False,True,True,7
40129,130,0.1,1599,True,0.5,2,False,True,False,False,False,9
40130,100,0.1,1051,True,0.9,7,True,True,True,False,True,3
40131,102,0.9,1857,False,1.4,2,False,True,True,False,False,20
40132,174,0.9,1986,False,0.5,6,True,False,False,False,True,12
40133,185,0.1,591,True,0.7,6,False,True,False,False,True,13
40134,131,0.3,1140,False,1.6,7,True,False,True,True,True,9
40135,80,0.8,923,True,0.6,2,False,True,False,True,True,9
40136,200,0.4,1582,True,0.5,1,True,False,False,False,True,18
40137,172,0.5,723,False,0.5,8,True,False,False,False,True,8
40138,83,0.8,1251,True,3.0,5,False,True,True,True,True,14
40139,139,0.1,574,False,1.0,2,False,True,True,True,True,9
40140,116,0.2,948,True,0.5,2,True,True,True,True,True,15
40141,194,0.4,1571,False,2.8,5,True,False,True,False,False,17
40142,192,0.6,564,True,0.5,1,True,True,False,False,False,2
40143,155,0.9,1466,True,2.4,6,False,False,True,True,True,4
40144,140,0.5,597,False,3.0,2,True,True,True,False,False,5
40145,148,0.5,895,False,2.5,7,False,True,True,True,True,15
40146,82,1.0,1535,False,2.5,4,True,False,True,True,True,15
40147,125,0.3,1832,False,0.7,2,False,True,False,False,False,9
40148,177,0.2,1045,True,1.6,4,False,True,False,True,True,11
40149,128,0.6,1483,False,0.8,1,True,True,False,True,True,20
40150,184,0.9,976,True,2.0,7,True,False,False,True,True,6
40151,123,0.1,1840,True,1.1,4,False,True,True,False,False,16
40152,89,0.1,1807,False,0.6,8,False,False,True,False,False,20
40153,192,0.1,624,True,1.6,2,True,True,True,False,False,10
40154,193,0.4,1963,True,0.5,3,False,False,False,True,True,10
40155,132,0.3,1307,True,0.5,4,True,True,False,True,True,19
40156,102,0.1,1933,False,0.5,7,True,True,True,False,False,19
40157,124,0.9,1496,False,1.3,2,False,True,True,False,True,6
40158,134,0.2,1532,True,2.0,2,True,True,False,False,True,7
40159,97,0.8,1004,True,1.1,2,False,False,True,True,True,20
40160,87,0.1,1483,True,1.2,5,False,True,True,True,True,16
40161,141,0.4,945,False,2.4,2,False,False,False,False,False,5
40162,89,0.1,1081,True,3.0,5,False,False,False,True,True,16
40163,87,0.9,1012,True,2.8,3,False,False,True,True,True,10
40164,104,0.9,1762,False,1.0,3,True,False,False,False,False,15
40165,127,0.3,796,True,2.3,8,True,True,True,True,True,5
40166,98,1.0,1547,True,2.5,5,True,False,False,True,True,17
40167,132,0.8,988,False,1.6,4,True,False,False,True,True,17
40168,102,0.8,1180,True,3.0,1,True,True,False,True,True,13
40169,161,0.5,852,False,1.9,2,True,True,False,True,True,9
40170,146,0.2,607,False,0.8,7,True,True,False,True,True,12
40171,135,0.4,1765,False,0.5,1,True,False,False,False,True,4
40172,165,0.7,1250,True,0.5,1,False,False,False,False,False,7
40173,109,0.5,1577,True,2.6,5,True,False,True,False,True,20
40174,135,0.2,1153,False,0.5,5,True,True,True,False,True,14
40175,113,0.4,651,True,0.7,7,True,True,False,False,True,19
40176,88,0.1,1186,True,2.3,4,False,True,True,False,False,17
40177,121,0.1,1429,True,2.5,5,True,True,False,False,True,18
40178,135,0.8,556,False,0.9,8,False,False,False,True,True,2
40179,126,0.1,1735,False,2.7,3,True,True,False,True,True,8
40180,127,0.1,1859,False,0.7,2,True,False,False,True,True,16
40181,188,0.1,915,True,1.3,2,True,False,False,False,False,14
40182,113,0.4,890,False,0.5,1,True,False,False,False,False,17
40183,101,0.7,758,False,2.8,3,False,False,False,False,False,18
